場所,名称,資料ランク,口唇部,口唇部_断面形,口唇部_装飾,口唇部_器面調整,口縁部,口縁部_形状,口縁部_方向,口縁部直下,口縁部_技法,口縁部_技法_沈線_特徴,口縁部_技法_縄文_特徴,口縁部_技法_磨消縄文_縄文,口縁部_技法_磨消縄文_沈線,口縁部_技法_磨消縄文_施文順序,口縁部_技法_磨消縄文_図地,口縁部_器面調整,口縁部_主モチーフ,口縁部_主モチーフ_区画文,口縁部_主モチーフ_曲線文,口縁部_主モチーフ_直線文,口縁部_主モチーフ_特殊文,口縁部_状態_連続・非連続,口縁部_状態_退化,口縁部_列数,口縁部_文様が開放/閉鎖,口縁部_変形,口縁部_主文様同士が並行/対向,口縁部_文様方向,口縁部_主モチーフ内モチーフ,口縁部_主モチーフ内モチーフ_区画文,口縁部_主モチーフ内モチーフ_曲線文,口縁部_主モチーフ内モチーフ_直線文,口縁部_主モチーフ内モチーフ_特殊文,口縁部_間モチーフ,口縁部_間モチーフ_区画文,口縁部_間モチーフ_曲線文,口縁部_直線文,口縁部_特殊文,口縁部_内面モチーフ,内面モチーフの情報,頸部,頸部の傾向,頸部の状態,強調(1)-退化(3),胴部,胴部方向,胴部_技法,胴部_技法_沈線_特徴,胴部_技法_縄文_特徴,胴部_技法_磨消縄文_縄文,胴部_技法_磨消縄文_沈線,胴部_技法_磨消縄文_施文順序,胴部_技法_磨消縄文_図地,胴部_器面調整,胴部_主モチーフ,胴部_主モチーフ_区画文,胴部_主モチーフ_曲線文,胴部_主モチーフ_直線文,胴部_主モチーフ_特殊文,胴部_状態_連続・非連続,胴部_状態_退化,胴部_列数,胴部_文様が開放,胴部_変形,胴部_主文様同士が並行/対向,胴部_文様方向,胴部_主モチーフ内モチーフ,胴部_主モチーフ内モチーフ_区画文,胴部_主モチーフ内モチーフ_曲線文,胴部_主モチーフ内モチーフ_直線文,胴部_主モチーフ内モチーフ_特殊文,胴部_間モチーフ,胴部_間モチーフ_区画文,胴部_間モチーフ_曲線文,胴部_間モチーフ_直線文,胴部_間モチーフ_特殊文,胴部_内面モチーフ,胴部_内面モチーフの情報,上端連繋,下端連繋,横位連繫線
Shimocha,197,1,あり,平坦,縄文,ナデ,あり,水平,内彎,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,沈線→縄文→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,2,閉鎖,あり,対向,横,なし,,,,,なし,,,,,なし,,あり,同化,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,198,1,あり,平坦,縄文,ナデ,あり,水平,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,LR,両方なし,沈線→縄文→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,同化,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,199,1,あり,傾き_内面,縄文,ナデ,あり,水平,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,沈線→縄文→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,あり,該当せず,横,なし,,,,,なし,,,,,なし,,あり,同化,,,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,沈線→縄文→沈線,図が空白,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,連繋有_磨消縄文,不明,不明
Shimocha,200,1,あり,傾き_内面,縄文,ナデ,あり,水平,内彎,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,縄文→沈線→磨り消し→沈線,図が空白,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,201,1,あり,平坦,縄文,ナデ,あり,水平,内彎,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が空白,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,202,1,あり,丸み_直立,なし,なし,あり,水平,内彎,縄文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が空白,ミガキ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,不明,不明,不明
Shimocha,203,1,あり,傾き_外面,縄文,なし,あり,水平,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,沈線→縄文→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,あり,対向,横,なし,,,,,なし,,,,,なし,,あり,同化,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,204,2,あり,傾き_内面,縄文,ナデ,あり,水平,内彎,縄文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,図が空白,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,なし
Shimocha,205,1,あり,傾き_内面,縄文,ナデ,あり,緩やかな波状,内彎,縄文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が空白,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,不明,不明,不明
Shimocha,206,1,あり,平坦,なし,ナデ,あり,水平,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,くびれ,磨消縄文,沈線を持たない,縄文を持たない,LR,両方なし,沈線→縄文→沈線,図が縄文,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,あり,該当せず,横,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,不明
Shimocha,207,1,あり,丸み_直立,なし,ナデ,あり,水平,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,あり,該当せず,不明,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,不明
Shimocha,208,1,あり,平坦,縄文,ナデ,あり,水平,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,LR,"内面突出, 反復ナゾリ",沈線→縄文→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,不明,あり,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,不明
Shimocha,209,1,あり,尖り_直立,なし,ナデ,あり,水平,外反,縄文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,不明,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,不明,不明,不明
Shimocha,210,1,あり,平坦,縄文,ナデ,あり,水平,内彎,縄文,磨消縄文,沈線を持たない,縄文を持たない,LR,両方なし,縄文→沈線→磨り消し→沈線,図が空白,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,211,2,あり,平坦,なし,ミガキ,あり,水平,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,図が縄文,ミガキ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,不明,なし,該当せず,横,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,あり
Shimocha,65,3,あり,平坦,なし,ナデ,あり,水平,外反,無文,幅広の沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,あり,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,隆帯,3,あり,外反,幅広の沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,あり,区画文でない,波状文,直線文でない,特殊文でない,なし,,連繋なし,不明,なし
Shimocha,217,3,あり,丸み_直立,刺突,ナデ,あり,緩やかな波状,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,開放,あり,対向,横,なし,,,,,なし,,,,,なし,,あり,同化,,,あり,くびれ,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,曲線文,区画文でない,縦に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,あり,区画文でない,スペード文,直線文でない,特殊文でない,なし,,連繋なし,連繋なし,あり
Shimocha,167,2,あり,丸み_直立,沈線,ナデ,あり,緩やかな波状,内彎,無文,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,あり,該当せず,開放,あり,該当せず,横,なし,,,,,なし,,,,,なし,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,曲線文,区画文でない,縦に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,あり,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,なし,,連繋有_磨消縄文,不明,なし
Shimocha,110,3,あり,傾き_内面,"沈線, 縄文, 刺突",ナデ,あり,緩やかな波状,外反,縄文,"幅広の沈線, 刺突_円形, 縄文",反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,直線文,区画文でない,曲線文でない,横位線,特殊文でない,非連続,なし,1,該当せず,なし,該当せず,横,あり,区画文でない,曲線文でない,直線文でない,刺突文,なし,,,,,なし,,あり,分離,段・肥厚_外面,3,あり,くびれ,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,縄文→沈線→磨り消し→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,開放,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,連繋なし,なし
Shimocha,212,2,あり,傾き_内面,なし,ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,曲線文,区画文でない,縦に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,なし
Shimocha,213,2,あり,丸み_直立,"沈線, 縄文",ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,曲線文,区画文でない,縦に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,あり,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,なし
Shimocha,214,1,あり,傾き_内面,沈線,ナデ,あり,緩やかな波状,内彎,無文,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,不明,図が縄文,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,215,1,あり,丸み_内面,"沈線, 縄文, 刺突",ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,縄文→沈線→磨り消し→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,不明,不明,不明
Shimocha,216,1,あり,傾き_内面,"沈線, 縄文, 刺突",ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,縄文→沈線→磨り消し→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,不明,なし,該当せず,不明,なし,該当せず,不明,なし,,,,,なし,,,,,なし,,不明,不明,不明
Shimocha,138,3,あり,平坦,縄文,ナデ,あり,緩やかな波状,内彎,縄文,磨消縄文,沈線を持たない,縄文を持たない,LR,"内面突出, 反復ナゾリ",縄文→沈線→磨り消し→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,あり,対向,横,なし,,,,,あり,区画文でない,円文,直線文でない,特殊文でない,なし,,あり,同化,,,あり,くびれ,磨消縄文,沈線を持たない,縄文を持たない,LR,"内面突出, 反復ナゾリ",縄文→沈線→磨り消し→沈線,図が空白,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,閉鎖,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,なし
Shimocha,1,3,あり,尖り_外面,縄文,なし,あり,緩やかな波状,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,あり,該当せず,横,なし,,,,,あり,区画文でない,渦巻文,直線文でない,特殊文でない,なし,,あり,一体化,段・肥厚_外面,2,あり,直立,磨消縄文,沈線を持たない,縄文を持たない,LR,"内面突出, 反復ナゾリ",沈線→縄文→沈線,図が空白,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,186,3,あり,丸み_直立,なし,ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,くびれ,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,不明,なし,該当せず,不明,なし,該当せず,横,なし,,,,,なし,,,,,なし,,連繋有_磨消縄文,不明,なし
Shimocha,218,2,あり,丸み_内面,なし,ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,不明,あり,該当せず,縦,あり,区画文でない,横に長いJ字文,直線文でない,特殊文でない,なし,,,,,なし,,連繋有_磨消縄文,不明,なし
Shimocha,219,2,あり,傾き_内面,なし,ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,くびれ,幅広の沈線,"内面突出, 反復ナゾリ",縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,あり,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋有_沈線,不明,なし
Shimocha,220,1,あり,傾き_内面,沈線,ナデ,あり,緩やかな波状,内彎,縄文,"刺突_円形, 磨消縄文",沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,図が空白,ナデ,直線文,区画文でない,曲線文でない,三角文,特殊文でない,不明,なし,該当せず,不明,あり,該当せず,横,あり,区画文でない,スペード文,直線文でない,刺突文,なし,,,,,なし,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,不明,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,不明,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,不明,不明,不明
Shimocha,221,1,あり,尖り_外面,縄文,ナデ,あり,水平,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,不明,"内面突出, 反復ナゾリ",沈線→縄文→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,不明,なし,該当せず,縦,あり,区画文でない,円文,直線文でない,特殊文でない,なし,,,,,なし,,連繋有_磨消縄文,不明,なし
Shimocha,222,1,あり,平坦,縄文,ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,"幅広の沈線, 刺突_円形, 縄文","内面突出, 反復ナゾリ",不明,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,あり,該当せず,縦,あり,区画文でない,曲線文でない,直線文でない,刺突文,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,233,1,あり,丸み_直立,なし,ナデ,あり,不明,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,不明,"幅広の沈線, 刺突_円形",両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,224,1,あり,丸み_内面,なし,ナデ,あり,水平,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,細い沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,連繋有_沈線,連繋なし,なし
Shimocha,225,1,あり,平坦,なし,ナデ,あり,水平,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,不明,細い沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,連続,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,226,1,あり,突出_内面,なし,ナデ,あり,緩やかな波状,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,幅広の沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋有_沈線,不明,不明
Shimocha,227,1,あり,平坦,なし,ナデ,あり,水平,直立,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,くびれ,細い沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,228,1,あり,傾き_内面,なし,ナデ,あり,水平,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,幅広の沈線,内面突出,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,なし
Shimocha,229,1,あり,丸み_内面,なし,ナデ,あり,水平,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,不明,幅広の沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,230,1,あり,平坦,縄文,なし,あり,水平,直立,縄文,"幅広の沈線, 縄文",両方なし,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,直線文,区画文でない,曲線文でない,横位線,特殊文でない,連続,なし,1,該当せず,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,文様_沈線,3,あり,くびれ,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,231,1,あり,丸み_外面,なし,ナデ,あり,水平,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,くびれ,細い沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋有_沈線,不明,なし
Shimocha,232,1,あり,丸み_直立,なし,ナデ,あり,水平,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,くびれ,幅広の沈線,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,直線文,区画文でない,曲線文でない,斜文,特殊文でない,非連続,なし,複数,該当せず,あり,対向,縦,なし,,,,,なし,,,,,なし,,連繋なし,連繋なし,なし
Shimocha,233,2,あり,傾き_内面,なし,ナデ,あり,水平,外反,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,同化,,,あり,外反,細い沈線,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,非連続,なし,該当せず,開放,あり,該当せず,横,なし,,,,,なし,,,,,なし,,連繋なし,連繋なし,なし
